molregno,withdrawn_flag,pref_name,chembl_id,chirality,black_box_warning,polymer_flag,canonical_smiles,level5,level1_description,level2_description,level3_description,level4_description,who_name,warning_type,warning_class,warning_description,warning_country,warning_year
12825,0,PROGESTERONE,CHEMBL103,1,1,0,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,"('G03DA04',)","('GENITO URINARY SYSTEM AND SEX HORMONES',)","('SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM',)","('PROGESTOGENS',)","('Pregnen (4) derivatives',)","('progesterone',)",Black Box Warning,"('Cardiotoxicity', 'Vascular toxicity', 'Neurotoxicity', 'Respiratory toxicity', 'Carcinogenicity')",,United States,
12890,0,OXATOMIDE,CHEMBL13828,2,0,0,O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,"('R06AE06',)","('RESPIRATORY SYSTEM',)","('ANTIHISTAMINES FOR SYSTEMIC USE',)","('ANTIHISTAMINES FOR SYSTEMIC USE',)","('Piperazine derivatives',)","('oxatomide',)",,,,,
12957,0,KETOTIFEN,CHEMBL534,2,0,0,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,"('R06AX17', 'S01GX08')","('RESPIRATORY SYSTEM', 'SENSORY ORGANS')","('ANTIHISTAMINES FOR SYSTEMIC USE', 'OPHTHALMOLOGICALS')","('ANTIHISTAMINES FOR SYSTEMIC USE', 'DECONGESTANTS AND ANTIALLERGICS')","('Other antihistamines for systemic use', 'Other antiallergics')","('ketotifen', 'ketotifen')",,,,,
13048,0,SUNITINIB,CHEMBL535,2,1,0,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,"('L01EX01',)","('ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS',)","('ANTINEOPLASTIC AGENTS',)","('PROTEIN KINASE INHIBITORS',)","('Other protein kinase inhibitors',)","('sunitinib',)",,,,,
13329,0,HYDROQUINONE,CHEMBL537,2,0,0,Oc1ccc(O)cc1,"('D11AX11',)","('DERMATOLOGICALS',)","('OTHER DERMATOLOGICAL PREPARATIONS',)","('OTHER DERMATOLOGICAL PREPARATIONS',)","('Other dermatologicals',)","('hydroquinone',)",,,,,
13342,0,ACETIC ACID,CHEMBL539,2,0,0,CC(=O)O,"('G01AD02', 'S02AA10')","('GENITO URINARY SYSTEM AND SEX HORMONES', 'SENSORY ORGANS')","('GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS', 'OTOLOGICALS')","('ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS', 'ANTIINFECTIVES')","('Organic acids', 'Antiinfectives')","('acetic acid', 'acetic acid')",,,,,
13372,0,AMINOBENZOIC ACID,CHEMBL542,2,0,0,Nc1ccc(C(=O)O)cc1,"('D02BA01',)","('DERMATOLOGICALS',)","('EMOLLIENTS AND PROTECTIVES',)","('PROTECTIVES AGAINST UV-RADIATION',)","('Protectives against UV-radiation for topical use',)","('aminobenzoic acid',)",,,,,
13456,0,PHENOL,CHEMBL14060,2,0,0,Oc1ccccc1,"('C05BB05', 'D08AE03', 'N01BX03', 'R02AA19')","('CARDIOVASCULAR SYSTEM', 'DERMATOLOGICALS', 'NERVOUS SYSTEM', 'RESPIRATORY SYSTEM')","('VASOPROTECTIVES', 'ANTISEPTICS AND DISINFECTANTS', 'ANESTHETICS', 'THROAT PREPARATIONS')","('ANTIVARICOSE THERAPY', 'ANTISEPTICS AND DISINFECTANTS', 'ANESTHETICS, LOCAL', 'THROAT PREPARATIONS')","('Sclerosing agents for local injection', 'Phenol and derivatives', 'Other local anesthetics', 'Antiseptics')","('phenol', 'phenol', 'phenol', 'phenol')",,,,,
13474,0,MEQUINOL,CHEMBL544,2,0,0,COc1ccc(O)cc1,"('D11AX06',)","('DERMATOLOGICALS',)","('OTHER DERMATOLOGICAL PREPARATIONS',)","('OTHER DERMATOLOGICAL PREPARATIONS',)","('Other dermatologicals',)","('mequinol',)",,,,,
13494,0,CLOTRIMAZOLE,CHEMBL104,2,0,0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,"('A01AB18', 'D01AC01', 'G01AF02')","('ALIMENTARY TRACT AND METABOLISM', 'DERMATOLOGICALS', 'GENITO URINARY SYSTEM AND SEX HORMONES')","('STOMATOLOGICAL PREPARATIONS', 'ANTIFUNGALS FOR DERMATOLOGICAL USE', 'GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS')","('STOMATOLOGICAL PREPARATIONS', 'ANTIFUNGALS FOR TOPICAL USE', 'ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS')","('Antiinfectives and antiseptics for local oral treatment', 'Imidazole and triazole derivatives', 'Imidazole derivatives')","('clotrimazole', 'clotrimazole', 'clotrimazole')",,,,,
13590,0,MITOMYCIN,CHEMBL105,1,1,0,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,"('L01DC03',)","('ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS',)","('ANTINEOPLASTIC AGENTS',)","('CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES',)","('Other cytotoxic antibiotics',)","('mitomycin',)",Black Box Warning,"('Hematological toxicity', 'Nephrotoxicity')",,United States,
13618,0,ALCOHOL,CHEMBL545,2,0,0,CCO,"('D08AX08', 'V03AB16', 'V03AZ01')","('DERMATOLOGICALS', 'VARIOUS', 'VARIOUS')","('ANTISEPTICS AND DISINFECTANTS', 'ALL OTHER THERAPEUTIC PRODUCTS', 'ALL OTHER THERAPEUTIC PRODUCTS')","('ANTISEPTICS AND DISINFECTANTS', 'ALL OTHER THERAPEUTIC PRODUCTS', 'ALL OTHER THERAPEUTIC PRODUCTS')","('Other antiseptics and disinfectants', 'Antidotes', 'Nerve depressants')","('ethanol', 'ethanol', 'ethanol')",,,,,
13756,0,OXPRENOLOL,CHEMBL546,0,0,0,C=CCOc1ccccc1OCC(O)CNC(C)C,"('C07AA02',)","('CARDIOVASCULAR SYSTEM',)","('BETA BLOCKING AGENTS',)","('BETA BLOCKING AGENTS',)","('Beta blocking agents, non-selective',)","('oxprenolol',)",,,,,
13758,0,FLUCONAZOLE,CHEMBL106,2,0,0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,"('D01AC15', 'J02AC01')","('DERMATOLOGICALS', 'ANTIINFECTIVES FOR SYSTEMIC USE')","('ANTIFUNGALS FOR DERMATOLOGICAL USE', 'ANTIMYCOTICS FOR SYSTEMIC USE')","('ANTIFUNGALS FOR TOPICAL USE', 'ANTIMYCOTICS FOR SYSTEMIC USE')","('Imidazole and triazole derivatives', 'Triazole derivatives')","('fluconazole', 'fluconazole')",,,,,
13928,0,ISOTRETINOIN,CHEMBL547,2,1,0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,"('D10AD04', 'D10AD54', 'D10BA01')","('DERMATOLOGICALS', 'DERMATOLOGICALS', 'DERMATOLOGICALS')","('ANTI-ACNE PREPARATIONS', 'ANTI-ACNE PREPARATIONS', 'ANTI-ACNE PREPARATIONS')","('ANTI-ACNE PREPARATIONS FOR TOPICAL USE', 'ANTI-ACNE PREPARATIONS FOR TOPICAL USE', 'ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE')","('Retinoids for topical use in acne', 'Retinoids for topical use in acne', 'Retinoids for treatment of acne')","('isotretinoin', 'isotretinoin, combinations', 'isotretinoin')",Black Box Warning,"('Teratogenicity',)",,United States,
13949,0,ILOPERIDONE,CHEMBL14376,2,1,0,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,"('N05AX14',)","('NERVOUS SYSTEM',)","('PSYCHOLEPTICS',)","('ANTIPSYCHOTICS',)","('Other antipsychotics',)","('iloperidone',)",Black Box Warning,"('Psychiatric toxicity',)",,United States,
14125,0,DINOPROSTONE,CHEMBL548,1,0,0,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,"('G02AD02',)","('GENITO URINARY SYSTEM AND SEX HORMONES',)","('OTHER GYNECOLOGICALS',)","('UTEROTONICS',)","('Prostaglandins',)","('dinoprostone',)",,,,,
14126,0,NEOSTIGMINE,CHEMBL278020,2,0,0,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,"('N07AA01', 'N07AA51', 'S01EB06')","('NERVOUS SYSTEM', 'NERVOUS SYSTEM', 'SENSORY ORGANS')","('OTHER NERVOUS SYSTEM DRUGS', 'OTHER NERVOUS SYSTEM DRUGS', 'OPHTHALMOLOGICALS')","('PARASYMPATHOMIMETICS', 'PARASYMPATHOMIMETICS', 'ANTIGLAUCOMA PREPARATIONS AND MIOTICS')","('Anticholinesterases', 'Anticholinesterases', 'Parasympathomimetics')","('neostigmine', 'neostigmine, combinations', 'neostigmine')",,,,,
14263,0,REBOXETINE,CHEMBL14370,0,0,0,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,"('N06AX18',)","('NERVOUS SYSTEM',)","('PSYCHOANALEPTICS',)","('ANTIDEPRESSANTS',)","('Other antidepressants',)","('reboxetine',)",,,,,
14367,0,CITALOPRAM,CHEMBL549,0,1,0,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,"('N06AB04',)","('NERVOUS SYSTEM',)","('PSYCHOANALEPTICS',)","('ANTIDEPRESSANTS',)","('Selective serotonin reuptake inhibitors',)","('citalopram',)",,,,,
14406,0,PILOCARPINE,CHEMBL550,1,0,0,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,"('N07AX01', 'S01EB01', 'S01EB51')","('NERVOUS SYSTEM', 'SENSORY ORGANS', 'SENSORY ORGANS')","('OTHER NERVOUS SYSTEM DRUGS', 'OPHTHALMOLOGICALS', 'OPHTHALMOLOGICALS')","('PARASYMPATHOMIMETICS', 'ANTIGLAUCOMA PREPARATIONS AND MIOTICS', 'ANTIGLAUCOMA PREPARATIONS AND MIOTICS')","('Other parasympathomimetics', 'Parasympathomimetics', 'Parasympathomimetics')","('pilocarpine', 'pilocarpine', 'pilocarpine, combinations')",,,,,
14440,0,COLCHICINE,CHEMBL107,1,0,0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,"('M04AC01',)","('MUSCULO-SKELETAL SYSTEM',)","('ANTIGOUT PREPARATIONS',)","('ANTIGOUT PREPARATIONS',)","('Preparations with no effect on uric acid metabolism',)","('colchicine',)",,,,,
14785,0,ERLOTINIB,CHEMBL553,2,0,0,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,"('L01EB02',)","('ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS',)","('ANTINEOPLASTIC AGENTS',)","('PROTEIN KINASE INHIBITORS',)","('Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors',)","('erlotinib',)",,,,,
14805,0,LAPATINIB,CHEMBL554,2,1,0,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,"('L01EH01',)","('ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS',)","('ANTINEOPLASTIC AGENTS',)","('PROTEIN KINASE INHIBITORS',)","('Human epidermal growth factor receptor 2 (HER2) tyrosine kinase inhibitors',)","('lapatinib',)",,,,,
14882,0,TRIFLUPERIDOL,CHEMBL15023,2,0,0,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,"('N05AD02',)","('NERVOUS SYSTEM',)","('PSYCHOLEPTICS',)","('ANTIPSYCHOTICS',)","('Butyrophenone derivatives',)","('trifluperidol',)",,,,,
15086,0,CARBAMAZEPINE,CHEMBL108,2,1,0,NC(=O)N1c2ccccc2C=Cc2ccccc21,"('N03AF01',)","('NERVOUS SYSTEM',)","('ANTIEPILEPTICS',)","('ANTIEPILEPTICS',)","('Carboxamide derivatives',)","('carbamazepine',)",Black Box Warning,"('Hematological toxicity', 'Dermatological toxicity')",,United States,
15191,0,YOHIMBINE,CHEMBL15245,1,0,0,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,"('G04BE04',)","('GENITO URINARY SYSTEM AND SEX HORMONES',)","('UROLOGICALS',)","('UROLOGICALS',)","('Drugs used in erectile dysfunction',)","('yohimbine',)",,,,,
15217,0,VALPROIC ACID,CHEMBL109,2,1,0,CCCC(CCC)C(=O)O,"('N03AG01',)","('NERVOUS SYSTEM',)","('ANTIEPILEPTICS',)","('ANTIEPILEPTICS',)","('Fatty acid derivatives',)","('valproic acid',)",Black Box Warning,"('Hepatotoxicity', 'Teratogenicity', 'Gastrotoxicity')",,United States,
15371,1,TEMAFLOXACIN,CHEMBL277100,0,0,0,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,"('J01MA05',)","('ANTIINFECTIVES FOR SYSTEMIC USE',)","('ANTIBACTERIALS FOR SYSTEMIC USE',)","('QUINOLONE ANTIBACTERIALS',)","('Fluoroquinolones',)","('temafloxacin',)",,,,,
15890,0,BENZNIDAZOLE,CHEMBL110,2,0,0,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,"('P01CA02',)","('ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS',)","('ANTIPROTOZOALS',)","('AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS',)","('Nitroimidazole derivatives',)","('benznidazole',)",,,,,
15938,0,DEFEROXAMINE,CHEMBL556,2,0,0,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,"('V03AC01',)","('VARIOUS',)","('ALL OTHER THERAPEUTIC PRODUCTS',)","('ALL OTHER THERAPEUTIC PRODUCTS',)","('Iron chelating agents',)","('deferoxamine',)",,,,,
15958,0,MEXILETINE,CHEMBL558,0,1,0,Cc1cccc(C)c1OCC(C)N,"('C01BB02',)","('CARDIOVASCULAR SYSTEM',)","('CARDIAC THERAPY',)","('ANTIARRHYTHMICS, CLASS I AND III',)","('Antiarrhythmics, class Ib',)","('mexiletine',)",,,,,
15990,0,DEXTROTHYROXINE,CHEMBL559,1,0,0,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,"('C10AX01',)","('CARDIOVASCULAR SYSTEM',)","('LIPID MODIFYING AGENTS',)","('LIPID MODIFYING AGENTS, PLAIN',)","('Other lipid modifying agents',)","('dextrothyroxine',)",,,,,
16088,1,RIMONABANT,CHEMBL111,2,0,0,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,"('A08AX01',)","('ALIMENTARY TRACT AND METABOLISM',)","('ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS',)","('ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS',)","('Other antiobesity drugs',)","('rimonabant',)",Withdrawn,"('Psychiatric toxicity',)","Psychiatric effects, especially depression",European Union; Never approved in the United States,2008.0
16225,1,NOMIFENSINE,CHEMBL273575,0,0,0,CN1Cc2c(N)cccc2C(c2ccccc2)C1,"('N06AX04',)","('NERVOUS SYSTEM',)","('PSYCHOANALEPTICS',)","('ANTIDEPRESSANTS',)","('Other antidepressants',)","('nomifensine',)",,,,,
16278,0,LOMEFLOXACIN,CHEMBL561,0,0,0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,"('J01MA07', 'S01AE04')","('ANTIINFECTIVES FOR SYSTEMIC USE', 'SENSORY ORGANS')","('ANTIBACTERIALS FOR SYSTEMIC USE', 'OPHTHALMOLOGICALS')","('QUINOLONE ANTIBACTERIALS', 'ANTIINFECTIVES')","('Fluoroquinolones', 'Fluoroquinolones')","('lomefloxacin', 'lomefloxacin')",,,,,
16303,0,GRISEOFULVIN,CHEMBL562,1,0,0,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,"('D01AA08', 'D01BA01')","('DERMATOLOGICALS', 'DERMATOLOGICALS')","('ANTIFUNGALS FOR DERMATOLOGICAL USE', 'ANTIFUNGALS FOR DERMATOLOGICAL USE')","('ANTIFUNGALS FOR TOPICAL USE', 'ANTIFUNGALS FOR SYSTEMIC USE')","('Antibiotics', 'Antifungals for systemic use')","('griseofulvin', 'griseofulvin')",,,,,
16308,0,FLURBIPROFEN,CHEMBL563,0,1,0,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,"('M01AE09', 'M02AA19', 'R02AX01', 'S01BC04')","('MUSCULO-SKELETAL SYSTEM', 'MUSCULO-SKELETAL SYSTEM', 'RESPIRATORY SYSTEM', 'SENSORY ORGANS')","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS', 'TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN', 'THROAT PREPARATIONS', 'OPHTHALMOLOGICALS')","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS', 'TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN', 'THROAT PREPARATIONS', 'ANTIINFLAMMATORY AGENTS')","('Propionic acid derivatives', 'Antiinflammatory preparations, non-steroids for topical use', 'Other throat preparations', 'Antiinflammatory agents, non-steroids')","('flurbiprofen', 'flurbiprofen', 'flurbiprofen', 'flurbiprofen')",Black Box Warning,"('Cardiotoxicity', 'Gastrotoxicity', 'Neurotoxicity')",,United States,
16391,0,PROMAZINE,CHEMBL564,2,0,0,CN(C)CCCN1c2ccccc2Sc2ccccc21,"('N05AA03',)","('NERVOUS SYSTEM',)","('PSYCHOLEPTICS',)","('ANTIPSYCHOTICS',)","('Phenothiazines with aliphatic side-chain',)","('promazine',)",,,,,
16415,0,CLOFIBRATE,CHEMBL565,2,0,0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,"('C10AB01',)","('CARDIOVASCULAR SYSTEM',)","('LIPID MODIFYING AGENTS',)","('LIPID MODIFYING AGENTS, PLAIN',)","('Fibrates',)","('clofibrate',)",,,,,
16450,0,ACETAMINOPHEN,CHEMBL112,2,1,0,CC(=O)Nc1ccc(O)cc1,"('N02BE01', 'N02BE51', 'N02BE71')","('NERVOUS SYSTEM', 'NERVOUS SYSTEM', 'NERVOUS SYSTEM')","('ANALGESICS', 'ANALGESICS', 'ANALGESICS')","('OTHER ANALGESICS AND ANTIPYRETICS', 'OTHER ANALGESICS AND ANTIPYRETICS', 'OTHER ANALGESICS AND ANTIPYRETICS')","('Anilides', 'Anilides', 'Anilides')","('paracetamol', 'paracetamol, combinations excl. psycholeptics', 'paracetamol, combinations with psycholeptics')",Black Box Warning,"('Misuse', 'Hepatotoxicity')",,United States,
16456,0,FENBUFEN,CHEMBL277522,2,0,0,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,"('M01AE05',)","('MUSCULO-SKELETAL SYSTEM',)","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS',)","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS',)","('Propionic acid derivatives',)","('fenbufen',)",,,,,
16485,0,CAFFEINE,CHEMBL113,2,0,0,Cn1c(=O)c2c(ncn2C)n(C)c1=O,"('D11AX26', 'N06BC01')","('DERMATOLOGICALS', 'NERVOUS SYSTEM')","('OTHER DERMATOLOGICAL PREPARATIONS', 'PSYCHOANALEPTICS')","('OTHER DERMATOLOGICAL PREPARATIONS', 'PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS')","('Other dermatologicals', 'Xanthine derivatives')","('caffeine', 'caffeine')",,,,,
16498,1,PHENACETIN,CHEMBL16073,2,0,0,CCOc1ccc(NC(C)=O)cc1,"('N02BE03', 'N02BE53', 'N02BE73')","('NERVOUS SYSTEM', 'NERVOUS SYSTEM', 'NERVOUS SYSTEM')","('ANALGESICS', 'ANALGESICS', 'ANALGESICS')","('OTHER ANALGESICS AND ANTIPYRETICS', 'OTHER ANALGESICS AND ANTIPYRETICS', 'OTHER ANALGESICS AND ANTIPYRETICS')","('Anilides', 'Anilides', 'Anilides')","('phenacetin', 'phenacetin, combinations excl. psycholeptics', 'phenacetin, combinations with psycholeptics')",Withdrawn,"('Nephrotoxicity',)",Nephropathy,United Kingdom; United States; Germany; Denmark,1980.0
16505,0,PERPHENAZINE,CHEMBL567,2,1,0,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,"('N05AB03',)","('NERVOUS SYSTEM',)","('PSYCHOLEPTICS',)","('ANTIPSYCHOTICS',)","('Phenothiazines with piperazine structure',)","('perphenazine',)",Black Box Warning,"('Psychiatric toxicity', None)",,United States,
16506,0,OXAZEPAM,CHEMBL568,0,1,0,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,"('N05BA04',)","('NERVOUS SYSTEM',)","('PSYCHOLEPTICS',)","('ANXIOLYTICS',)","('Benzodiazepine derivatives',)","('oxazepam',)",Black Box Warning,"(None,)",,United States,
16510,0,SULINDAC,CHEMBL15770,1,1,0,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,"('M01AB02',)","('MUSCULO-SKELETAL SYSTEM',)","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS',)","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS',)","('Acetic acid derivatives and related substances',)","('sulindac',)",Black Box Warning,"('Gastrotoxicity', 'Cardiotoxicity', 'Neurotoxicity')",,United States,
16530,0,CHLOROPHENOTHANE,CHEMBL416898,2,0,0,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,"('P03AB01', 'P03AB51')","('ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS', 'ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS')","('ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS', 'ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS')","('ECTOPARASITICIDES, INCL. SCABICIDES', 'ECTOPARASITICIDES, INCL. SCABICIDES')","('Chlorine containing products', 'Chlorine containing products')","('clofenotane', 'clofenotane, combinations')",,,,,
16581,0,PROCAINE,CHEMBL569,2,0,0,CCN(CC)CCOC(=O)c1ccc(N)cc1,"('C05AD05', 'N01BA02', 'N01BA52', 'S01HA05')","('CARDIOVASCULAR SYSTEM', 'NERVOUS SYSTEM', 'NERVOUS SYSTEM', 'SENSORY ORGANS')","('VASOPROTECTIVES', 'ANESTHETICS', 'ANESTHETICS', 'OPHTHALMOLOGICALS')","('AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE', 'ANESTHETICS, LOCAL', 'ANESTHETICS, LOCAL', 'LOCAL ANESTHETICS')","('Local anesthetics', 'Esters of aminobenzoic acid', 'Esters of aminobenzoic acid', 'Local anesthetics')","('procaine', 'procaine', 'procaine, combinations', 'procaine')",,,,,
16584,0,TRIFLUPROMAZINE,CHEMBL570,2,0,0,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,"('N05AA05',)","('NERVOUS SYSTEM',)","('PSYCHOLEPTICS',)","('ANTIPSYCHOTICS',)","('Phenothiazines with aliphatic side-chain',)","('triflupromazine',)",,,,,
16591,0,KETOPROFEN,CHEMBL571,0,1,0,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,"('M01AE03', 'M01AE53', 'M02AA10')","('MUSCULO-SKELETAL SYSTEM', 'MUSCULO-SKELETAL SYSTEM', 'MUSCULO-SKELETAL SYSTEM')","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS', 'ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS', 'TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN')","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS', 'ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS', 'TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN')","('Propionic acid derivatives', 'Propionic acid derivatives', 'Antiinflammatory preparations, non-steroids for topical use')","('ketoprofen', 'ketoprofen, combinations', 'ketoprofen')",Black Box Warning,"('Cardiotoxicity', 'Gastrotoxicity', 'Neurotoxicity')",,United States,
16592,0,NITROFURANTOIN,CHEMBL572,2,0,0,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,"('J01XE01', 'J01XE51')","('ANTIINFECTIVES FOR SYSTEMIC USE', 'ANTIINFECTIVES FOR SYSTEMIC USE')","('ANTIBACTERIALS FOR SYSTEMIC USE', 'ANTIBACTERIALS FOR SYSTEMIC USE')","('OTHER ANTIBACTERIALS', 'OTHER ANTIBACTERIALS')","('Nitrofuran derivatives', 'Nitrofuran derivatives')","('nitrofurantoin', 'nitrofurantoin, combinations')",,,,,
16599,1,INDOPROFEN,CHEMBL15870,0,0,0,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,"('M01AE10',)","('MUSCULO-SKELETAL SYSTEM',)","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS',)","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS',)","('Propionic acid derivatives',)","('indoprofen',)",Withdrawn,"('Carcinogenicity', 'Gastrotoxicity')",Animal Carcinogenicity (rodent); Gastrointestinal Toxicity,United Kingdom; Spain; Germany,1983.0
16654,0,LINDANE,CHEMBL15891,1,1,0,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,"('P03AB02',)","('ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS',)","('ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS',)","('ECTOPARASITICIDES, INCL. SCABICIDES',)","('Chlorine containing products',)","('lindane',)",Black Box Warning,"('Neurotoxicity',)",,United States,
16656,0,NIACIN,CHEMBL573,2,0,0,O=C(O)c1cccnc1,"('C04AC01', 'C10AD02', 'C10AD52')","('CARDIOVASCULAR SYSTEM', 'CARDIOVASCULAR SYSTEM', 'CARDIOVASCULAR SYSTEM')","('PERIPHERAL VASODILATORS', 'LIPID MODIFYING AGENTS', 'LIPID MODIFYING AGENTS')","('PERIPHERAL VASODILATORS', 'LIPID MODIFYING AGENTS, PLAIN', 'LIPID MODIFYING AGENTS, PLAIN')","('Nicotinic acid and derivatives', 'Nicotinic acid and derivatives', 'Nicotinic acid and derivatives')","('nicotinic acid', 'nicotinic acid', 'nicotinic acid, combinations')",,,,,
16716,0,METHICILLIN,CHEMBL575,1,0,0,COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,"('J01CF03',)","('ANTIINFECTIVES FOR SYSTEMIC USE',)","('ANTIBACTERIALS FOR SYSTEMIC USE',)","('BETA-LACTAM ANTIBACTERIALS, PENICILLINS',)","('Beta-lactamase resistant penicillins',)","('meticillin',)",,,,,
