MedProduct,ActiveSub,firstPediatricDate,Orphan,TherapeuticArea,ATC,MainCondition,MinimumApprovedAge,PediatricTherapeuticIndications,elabSMILES,prediction
Stribild,"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate",2017,no,Infectious diseases,J- Antiinfectives,HIV Infections,> 12 years,Stribild is also indicated for the treatment of HIV-1 infection in adolescents aged 12 to < 18 years weighing ≥ 35 kg who are infected with HIV-1 without known mutations associated with resistance to any of the three antiretroviral agents in Stribild and who have experienced toxicities which preclude the use of other regimens that do not contain tenofovir disoproxil fumarate (TDF) ,CC(C)OC(=O)OCOP(=O)(COC(C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,1
Sutent,Sunitinib,2018,yes,Oncology,L- Antineoplastic and immunomodulating,nd,nd,_PIP negative outcome,C=c1c(C(=O)NCCN(CC)CC)c(C)[nH]c1=Cc1c(O)[nH]c2ccc(F)cc12,1
Sycrest,asenapine (as maleate) ,2015,no,Psychiatry ,N- Neuropsychiatric,nd,nd,_PIP negative outcome,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,1
Tamiflu,Oseltamivir (phosphate),2020,no,antiviral,J- Antiinfectives,"Influenza, Human",all ages including full term neonates,"Treatment of influenza: Tamiflu is indicated in adults and children including full term neonates who present with symptoms typical of influenza, when influenza virus is circulating in the community. Efficacy has been demonstrated when treatment is initiated within two days of first onset of symptoms. Prevention of influenza - Post-exposure prevention in individuals 1 year of age or older following contact with a clinically diagnosed influenza case when influenza virus is circulating in the community. - The appropriate use of Tamiflu for prevention of influenza should be determined on a case by case basis by the circumstances and the population requiring protection. In exceptional situations (e.g. in case of a mismatch between the circulating and vaccine virus strains, and a pandemic situation) seasonal prevention could be considered in individuals one year of age or older. - Tamiflu is indicated for post-exposure prevention of influenza in infants less than 1 year of age during a pandemic influenza outbreak. Tamiflu is not a substitute for influenza vaccination: The use of antivirals for the treatment and prevention of influenza should be determined on the basis of official recommendations. Decisions regarding the use of oseltamivir for treatment and prophylaxis should take into consideration what is known about the characteristics of the circulating influenza viruses, available information on influenza drug susceptibility patterns for each season and the impact of the disease in different geographical areas and patient populations.",CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,1
Tasigna,nilotinib,2017,yes,Oncology,L- Antineoplastic and immunomodulating,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Paediatric patients,"Tasigna is indicated for the treatment of: - adult and paediatric patients with newly diagnosed Philadelphia chromosome positive chronic myelogenous leukaemia (CML) in the chronic phase, - paediatric patients with chronic phase Philadelphia chromosome positive CML with resistance or intolerance to prior therapy including imatinib.",Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,1
Tivicay,dolutegravir,2014,no,Infectious diseases,J- Antiinfectives,HIV Infections,> 4 week at least 3 kg > 6 years at least 14 kg,"Tivicay is indicated in combination with other anti-retroviral medicinal products for the treatment of Human Immunodeficiency Virus (HIV) infected adults, adolescents and children above 6 years of age or older and weighing at least 14 kg. Tivicay is indicated in combination with other anti-retroviral medicinal products for the treatment of Human Immunodeficiency Virus (HIV) infected adults,  adolescents and children of at least 4 weeks of age or older and weighing at least 3 kg.",CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,1
Tobi Podhaler,Tobramycin,2011,yes,Infectious diseases,J- Antiinfectives, Respiratory Tract Infections Cystic Fibrosis,> 6 years,TOBI Podhaler is indicated for the suppressive therapy of chronic pulmonary infection due to Pseudomonas aeruginosa in adults and children aged 6 years and older with cystic fibrosis.,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,1
Tracleer,Bosentan,2009,yes,Cardiovascular disease,C- Cardiovascular,"Hypertension, Pulmonary",> 1 year,Treatment of pulmonary arterial hypertension (PAH) to improve exercise capacity- posology available,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,1
Translarna,Ataluren,2014,yes,Musculo-skeletal system,M- Musculoskeletal ,"Muscular Dystrophy, Duchenne",> 2 years,"Translarna is indicated for the treatment of Duchenne muscular dystrophy resulting from a nonsense mutation in the dystrophin gene, in ambulatory patients aged 2 years and older. Efficacy has not been demonstrated in non-ambulatory patients. The presence of a nonsense mutation in the dystrophin gene should be determined by genetic testin",O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,1
Travatan,travoprost,2014,no,Ophthalmology,Other ,Ocular Hypertension Glaucoma,> 2 months ,Decrease of elevated intraocular pressure in paediatric patients aged 2 months to < 18 years with ocular hypertension or paediatric glaucoma.,CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(O)COc1cccc(C(F)(F)F)c1,1
Trecondi,Treosulfan,2019,yes,Oncology,L- Antineoplastic and immunomodulating,Hematopoietic Stem Cell Transplantation,> 1 month  ,"Treosulfan in combination with fludarabine is indicated as part of conditioning treatment prior to allogeneic haematopoietic stem cell transplantation (alloHSCT) in adult patients with malignant and non-malignant diseases, and in paediatric patients older than one month with malignant diseases. ",CS(=O)(=O)OCC(O)C(O)COS(C)(=O)=O,1
Tybost,cobicistat,2020,no,Infectious diseases,J- Antiinfectives,HIV Infections,> 12 years,Tybost is indicated as a pharmacokinetic enhancer of atazanavir 300 mg once daily or darunavir 800 mg once daily as part of antiretroviral combination therapy in human immunodeficiency virus-1 (HIV-1) infected adults and adolescents aged 12 years and older: • weighing at least 35 kg co-administered with atazanavir or • weighing at least 40 kg co-administered with darunavir.,CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,1
Tygacil,Tigecycline,2015,no,Infectious diseases,J- Antiinfectives,"Soft Tissue Infections Bacterial Infections Skin Diseases, Bacterial",> 8 years,"Tygacil is indicated in adults and in children from the age of eight years for the treatment of the following infections: - Complicated skin and soft tissue infections (cSSTI), excluding diabetic foot infections - Complicated intra-abdominal infections (cIAI). Tygacil should be used only in situations where other alternative antibiotics are not suitable",CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)C(=O)C3(O)C(=O)C1C2=O,1
Velphoro,Sucroferric oxyhydroxide,2020,no,Uro-nephrology,G- Genitourinary,Hyperphosphatemia Renal Dialysis,> 2 years,Velphoro is indicated for the control of serum phosphorus levels in paediatric patients 2 years of age and older with CKD stages 4-5 (defined by a glomerular filtration rate <30 mL/min/1.73 m²) or with CKD on dialysis.,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,1
Verkazia,ciclosporin,2018,yes,Ophthalmology,Other ,Conjunctivitis Keratitis,> 4 to 18 years,Treatment of severe vernal keratoconjunctivitis (VKC) in children from 4 years of age and adolescents. ,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,1
Vfend,voriconazole,2014,no,Infectious diseases,J- Antiinfectives,Aspergillosis Candidiasis Mycoses,> 2 years,"Voriconazole, is a broad spectrum, triazole antifungal agent and is indicated in adults and children aged 2 years and above as follows: - treatment of invasive aspergillosis",CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,1
Vimpat,lacosamide,2011,no,Neurology,N- Neuropsychiatric,Epilepsy,> 4 years,"Vimpat is indicated as monotherapy and adjunctive therapy in the treatment of partial-onset seizures with or without secondary generalisation in adults, adolescents and children from 4 years of age with epilepsy",COCC(NC(C)=O)C(=O)NCc1ccccc1,1
Viramune,nevirapine,2011,no,Infectious diseases,J- Antiinfectives,HIV Infections,all ages,"Tablets and oral suspension: Viramune is indicated in combination with other anti-retroviral medicinal products for the treatment of HIV-1 infected adults, adolescents, and children of any age. 50- and 100-mg prolonged-release tablets: Viramune is indicated in combination with other antiretroviral medicinal products for the treatment of HIV-1-infected adolescents and children three years and above and able to swallow tablets. 100 and 400-mg prolonged-release tablets: Viramune is indicated in combination with other antiretroviral medicinal products for the treatment of HIV-1-infected adults, adolescents and children three years and above and able to swallow tablets.",Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,1
Vitrakvi,larotrectinib sulfate,2019,no,Oncology,L- Antineoplastic and immunomodulating,Abdominal Neoplasms,> 1 month,"VITRAKVI as monotherapy is indicated for the treatment of adult and paediatric patients with solid tumours that display a Neurotrophic Tyrosine Receptor Kinase (NTRK) gene fusion, - who have a disease that is locally advanced, metastatic or where surgical resection is likely to result in severe morbidity, and - who have no satisfactory treatment options",O=C(Nc1cnn2ccc(N3CCCC3c3cc(F)ccc3F)nc12)N1CCC(O)C1,1
Votrient,pazopanib,2020,no,Oncology ,L- Antineoplastic and immunomodulating,nd,nd,_PIP negative outcome,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1
Votubia,everolimus,2011,yes,Immunology,L- Antineoplastic and immunomodulating,Tuberous Sclerosis,> 1 year (SEGA associated TCS) > 2 years (TSC),"Subependymal giant cell astrocytoma (SEGA) associated with tuberous sclerosis complex (TSC): Votubia is indicated for the treatment of adult and paediatric patients with subependymal giant cell astrocytoma (SEGA) associated with tuberous sclerosis complex (TSC) who require therapeutic intervention but are not amenable to surgery The evidence is based on analysis of change in SEGA volume. Further clinical benefit, such as improvement in disease‑related symptoms, has not been demonstrated. Refractory seizures associated with tuberous sclerosis complex (TSC): Votubia is indicated as adjunctive treatment of patients aged 2 years and older whose refractory partial-onset seizures, with or without secondary generalisation, are associated with tuberous sclerosis complex (TSC).",COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)=CC(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,1
Xagrid,Anagrelide,2014,yes,Haematology-Hemostaseology,B - Blood and blood forming organs,nd,nd,_PIP negative outcome,Oc1cn2c(n1)Nc1ccc(Cl)c(Cl)c1C2,1
Xarelto,rivaroxaban,2013,no,Haematology,B - Blood and blood forming organs,nd,all ages,Treatment of venous thromboembolism (VTE) and prevention of VTE recurrence in children and adolescents aged less than 18 years and weighing from 30 kg to 50 kg after at least 5 days of initial parenteral anticoagulation treatment.,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,1
Zavicefta,"avibactam sodium, ceftazidime pentahydrate",2020,no,Infectious diseases,J- Antiinfectives,"Pneumonia, Bacterial Soft Tissue Infections Pneumonia Urinary Tract Infections Gram-Negative Bacterial Infections",> 3 months,"Zavicefta is indicated in adults and paediatric patients aged 3 months and older for the treatment of the following infections:  Complicated intra-abdominal infection (cIAI)  Complicated urinary tract infection (cUTI), including pyelonephritis  Hospital-acquired pneumonia (HAP), including ventilator associated pneumonia (VAP) Zavicefta is also indicated for the treatment of infections due to aerobic Gram-negative organisms in adults and paediatric patients aged 3 months and older with limited treatment options. Consideration should be given to official guidance on the appropriate use of antibacterial agents.",CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O,0
Zebinix,eslicarbazepine acetate,2016,no,Neurology,N- Neuropsychiatric,Epilepsy,> 6 years,"Zebinix is indicated as: - adjunctive therapy in adults, adolescents and children aged above 6 years, with partial-onset seizures with or without secondary generalisation.",CC(=O)OC1Cc2ccccc2N(C(N)=O)c2ccccc21,1
Zinforo,Ceftaroline fosamil,2016,no,Infectious diseases,J- Antiinfectives,"Community-Acquired Infections Pneumonia Skin Diseases, Infectious",all ages,"Zinforo is indicated for the treatment of the following infections in neonates, infants, children,adolescents and adults: Complicated skin and soft tissue infections (cSSTI) Community-acquired pneumonia (CAP) ",CCON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CSC12)c1nsc(NP(=O)([O-])O)n1,0
Zoely,"Nomegestrol acetate, estradiol",2011,no,Endocrinology,H- Systemic Hormones ,nd,nd,n.d.,CC(=O)C1(O)CCC2C3=CC(C)=C4CC(=O)CCC4C3CCC21C,1
Zometa,Zoledronic acid,2010,no,muscul skeletal,M- Musculoskeletal ,nd,nd,_PIP negative outcome,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,1
